"longitude","latitude","cluster","bio1","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9"
-72.331284,43.633711,5,60,181,-70,1020,98,66,12,278,210,278,221,125,30,9695,263,-145,408,181,-57
-80.503644,42.66801,1,78,194,-44,960,92,59,12,257,202,252,213,98,27,9259,266,-94,360,187,-35
-73.270211,44.117886,5,72,196,-64,891,103,49,20,273,159,273,166,120,29,10014,277,-135,412,196,-51
-76.173671,42.649198,1,73,188,-47,1003,103,60,15,284,192,284,203,107,29,9123,262,-101,363,188,-38
-76.746743,41.017029,1,95,208,-24,993,106,60,17,302,193,292,193,120,32,8954,287,-85,372,187,-24
-73.113866,44.389494,5,65,190,-71,937,108,47,22,297,159,297,165,112,27,10083,266,-139,405,190,-59
-80.355074,43.375965,5,67,185,-57,917,92,57,13,263,191,254,199,100,27,9452,260,-107,367,177,-49
-72.463736,43.853044,5,50,169,-80,1059,108,66,13,300,215,300,226,124,30,9623,250,-154,404,169,-67
-80.221775,43.235768,5,74,192,-49,902,89,57,12,252,192,244,200,98,26,9418,266,-99,365,184,-42
-82.734866,39.870935,1,106,218,-16,981,106,56,20,308,188,295,188,118,31,9041,292,-79,371,198,-16
-84.317223,39.066387,1,115,226,-6,1081,115,69,16,320,221,297,221,119,32,8941,298,-71,369,111,-6
-78.378929,42.676666,1,72,185,-49,1034,102,61,14,286,203,286,222,110,30,9076,259,-105,364,185,-40
-74.377614,40.916402,1,98,208,-19,1264,119,81,10,342,273,336,273,119,32,8748,284,-83,367,186,-19
-73.156581,44.087621,5,61,184,-72,1012,114,56,19,306,183,306,193,117,28,9885,262,-143,405,184,-60
-87.137144,41.709977,5,99,218,-31,947,100,41,23,290,159,290,159,105,27,9621,287,-91,378,218,-16
-75.651619,45.445981,3,60,193,-90,877,85,56,14,251,174,250,193,97,23,10963,262,-153,415,182,-76
-73.016569,44.273367,5,62,186,-72,980,112,51,21,304,170,304,179,115,28,9963,263,-142,405,186,-60
-87.975756,41.799539,5,97,221,-39,934,104,36,29,304,141,304,141,107,27,10038,291,-102,393,221,-39
-71.839612,41.17493,1,101,205,-5,1181,117,80,11,329,259,264,304,100,30,8173,268,-63,331,21,179
-77.341057,44.278772,5,68,192,-66,864,88,57,12,245,193,201,210,101,25,10018,264,-127,391,23,-55
-87.202597,46.590209,5,45,168,-86,804,95,39,22,255,142,232,147,113,28,9921,248,-151,399,125,-76
-68.528192,44.979441,5,61,182,-69,1065,115,80,12,311,244,249,271,117,29,9631,261,-139,400,17,-12
-87.936761,42.912403,5,83,206,-50,828,94,32,29,276,123,276,123,96,25,9905,272,-111,383,206,-50
-78.185995,44.569768,5,56,180,-79,846,81,57,11,231,179,222,193,107,26,10050,254,-144,398,78,-68
-87.818412,42.058922,5,94,216,-37,903,100,36,27,295,141,295,141,99,26,9789,281,-96,377,216,-37
-68.893044,44.601381,5,67,187,-60,1138,124,82,13,337,255,255,283,113,28,9506,261,-129,390,23,187
-73.3768,44.02341,5,71,195,-64,884,102,50,19,269,162,268,168,122,29,9988,277,-137,414,184,-51
-93.199616,45.40196,3,62,203,-98,750,113,20,51,314,68,314,68,117,25,11630,281,-176,457,203,-98
-78.76777,44.403013,5,61,183,-73,839,79,56,11,230,174,227,194,104,26,9943,256,-133,389,174,-15
-80.364389,43.305256,5,71,189,-53,919,91,58,12,258,195,250,202,100,27,9435,264,-102,366,181,-45
-77.707816,43.078529,1,85,202,-36,801,83,46,17,231,150,231,154,105,28,9260,276,-90,366,202,-28
